,Date,Source,Statement,Verdict
513,September 2018," Raphael Tuju, secretary-general of the Jubilee Party ",“ Kenya has a workforce of 20 million people.”,mostly-correct
514,September 2018," Raphael Tuju, secretary-general of the Jubilee Party ",“Only 3.2 million are in formal employment.”,incorrect
515,September 2018," Raphael Tuju, secretary-general of the Jubilee Party ",“Only 3.2 million people actually pay PAYE.”,correct
516,October 2018," Dr Okechukwu Ogah, president of the Nigerian Cardiac Society ",One out of every three adults in Nigeria has high blood pressure.,mostly-correct
517,September 2018,The UK’s Independent newspaper ,Unicef research found 65% of females in Kibera slum traded sex for sanitary pads,incorrect
518,October 2018,Times Live and the Citizen newspapers ,R8 out of every R10 spent by government goes to salaries of civil servants,incorrect
519,October 2018,Psychiatry Management Group ,Two claims on teen suicide in South Africa,checked
520,October 2018,Psychiatry Management Group ,“Almost one in 10 teenage deaths in South Africa every year are the result of suicide.”,incorrect
521,October 2018,Psychiatry Management Group ,“Up [to] 20% of high school learners have tried to take their own lives.”,mostly-correct
522,October 2018,Oxfam International ,One in 10 children in Nigeria does not reach their fifth birthday.,correct
523,September 2018,Abdikadir Mohamed ,95% of Kenya’s budget resources go to the executive,incorrect
524,August 2018," Abubakar Bwari, minister of mines and steel ",Two claims on small-scale mining in Nigeria,checked
525,August 2018," Abubakar Bwari, minister of mines and steel ",“At least 2 million people in Nigeria now directly or indirectly depend on artisanal and small-scale mining for their livelihood.”,Verdict
526,August 2018," Abubakar Bwari, minister of mines and steel ",“ Artisanal and small-scale miners are responsible for 90% of Nigeria’s mineral production”,Verdict
527,July 2018,Spectator Index on Twitter ,"Nigeria has 15 suicides per 100,000 people, per year",incorrect
528,September 2018,South African President Cyril Ramaphosa ,Zimbabwe continues to import electricity from South Africa,correct
529,,,Two claims about primary education in Nigeria,checked
530,,,“Over 40% of primary school teachers are unqualified”,incorrect
531,,,“50% of grade six pupils cannot read at all”,incorrect
532,September 2018,"Aden Duale, majority leader in the national assembly ",Three claims about Kenya’s tax income and spending on development,checked
533,September 2018,"Aden Duale, majority leader in the national assembly ","“In 2002, when the National Rainbow Coalition took over power, Kenya Revenue Authority was collecting close to about KSh600 billion.”",incorrect
534,September 2018,"Aden Duale, majority leader in the national assembly ",“Today the Kenya Revenue Authority is collecting over KSh1.3 trillion.”,correct
535,September 2018,"Aden Duale, majority leader in the national assembly ",“Kenya spends 43% of its national budget on development.”,incorrect
536,,,Two claims on the cost of Nigeria’s 2019 elections,checked
537,,,“Nigeria’s 2019 election budget is US$625 million [while] India’s 2014 poll cost US$600 million.”,Verdict
538,,,“Nigeria’s voting population is six times smaller than India’s.”,Verdict
539,August 2018,Academic Nuraan Davids ,Female teachers make up about 68% of the country’s teaching force. But only 36% of principals are women.,mostly-correct
540,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,Five claims related to violence against women and children,checked
541,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,Our country’s femicide rate has been increasing over the last five years.,correct
542,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,One in five women experience physical violence from an intimate partner.,incorrect
543,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,"41% of the [124,000 cases of rape in the last three years] were against children.",correct
544,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,"In the last year alone we’ve lost more than 2,000 women’s lives in the hands of men.",unproven
545,August 2018,David Mabuza: Takuwani Riime Men’s Summit ,Only one in three murders [of women] are detected by the police,unproven
546,August 2018,Export Promotion Council head Olusegun Awolowo ,Two claims on Nigeria’s economy,checked
547,August 2018,Export Promotion Council head Olusegun Awolowo ,"“What is driving our GDP is services.""",Verdict
548,August 2018,Export Promotion Council head Olusegun Awolowo ,“Oil still earns 90% of Nigeria’s foreign exchange”,Verdict
549,July 2018,Quartz news website ,China now owns more than 70% of Kenya’s external debt,incorrect
550,August 2018,Al Jazeera’s Inside Story ,The UN estimates 117% rise in killing of women in South Africa since 2015,incorrect
551,July 2018,Kenyan chief justice David Maraga ,The globally recommended funding for the judiciary is 2.5% of the national budget.,incorrect
552,July 2018,Presidential candidate Atiku Abubakar ,Two claims on unemployment in Nigeria,checked
553,July 2018,Presidential candidate Atiku Abubakar ,"“Today, we have the highest unemployment rate in the history of our country.”",Verdict
554,July 2018,Presidential candidate Atiku Abubakar ,"“More than 10 million youth are unemployed.""",Verdict
555,June 2018,Treatment Action Campaign ,Two claims on doctor-patient ratios in SA’s public and private health sectors,checked
556,June 2018,Treatment Action Campaign ,"“One public doctor treats “over 4,000 patients” in South Africa.”",incorrect
557,June 2018,Treatment Action Campaign ,“One doctor to less than 300 patients in South Africa’s private healthcare sector”,incorrect
558,June 2018,Timeslive ,"South Africa has the third highest number of cybercrime victims worldwide, losing about R2.2 billion a year in cyber attacks.",unproven
559, Facebook page @RealDonaldduke, Donald Duke,Three claims on drop out pupils and progression to secondary school,checked
560, Facebook page @RealDonaldduke, Donald Duke,“30% of pupils drop out of primary school.”,downplayed
561, Facebook page @RealDonaldduke, Donald Duke,“Only 54% transit to junior secondary schools.”,exaggerated
562, Facebook page @RealDonaldduke, Donald Duke,"“Nigeria has over 10 million out-of-school children, the highest number in the world.”",incorrect
563,July 2018 and other media reports,CNBC Africa ,Nairobi is the second most congested city in the world.,unproven
564,May 2018,EntBanc chief executive Vuyo Tofile ,South Africa's townships contribute up to R100 billion to the overall economy.,unproven
565,April 2018,Chatham House ,"8,300 Kenyans own more wealth than the rest of the population",unproven
566,,,Three claims about Eskom numbers,checked
567,,,"“The number of Eskom employees increased from 32,000 in 2003 to 47,600 in 2017.""",correct
568,,,"“The “average salary” per year at Eskom increased from R220,000 in 2003 to R780,000 in 2017.”",exaggerated
569,,,“Electricity production was 1.8 TWh in 2003 and 2017..”,incorrect
570,May 2018, Health reporter Ayodeji Ake ,At least 10 Nigerians die from cancer every hour,unproven
571,,,Five claims about devolution in Kenya,checked
572,,,"“It is important to note that up to the 2017/18 financial year, county governments have received cumulative of KSh1.25 trillion shillings as equitable share…”",mostly-correct
573,,,"“As a matter of clarity, we counties have been able [to] improve on our local revenues to augment the intergovernmental transfers from the national shareable revenues.”",mostly-correct
574,,,"“We note that pneumonia, malaria and cancer continue to be the leading causes of registered deaths.”",unproven
575,,,"“Our health worker proportion is therefore still below the ideal minimum health worker to population ratio of 23 doctors, nurses and midwives per 10,000 population recommended by WHO…”",misleading
576,,,"“Over the last 6 years, the forest cover has increased from 6.99% to 7.3%.”",unproven
577,June 2018,Advert for Omo detergent ,57% of South African kids are raised without fathers,incorrect
578,@Our_DA on Twitter,Democratic Alliance ,The Western Cape has created 75% of all jobs in South Africa in the past year.,correct
579,May 2018,Journalist Dele Sobowale ,Close to 80% of Nigerians lack potable water.,understated
580, chief of staff in the Kenyan presidency,Nzioka Waita,"Kenya’s doctor-to-patient ratio remains 1 doctor to every 16,000 patients.",incorrect
581,March 2018,"Cheryllyn Dudley, South African MP ","There are 200,000 abortions a year in South Africa, and many of these are “repeat” abortions.",unproven
582,,,7 claims about Nigeria government's achievements,checked
583,,,"“For the first time, 30% of the budget was earmarked for capital expenditure”",incorrect
584,,,"“The inflationary rate has consistently declined every month since January 2017""",correct
585,,,"“The country achieved 5,222.3 MW representing the highest peak of power generated onto the national grid and delivered to customers in December 2017.”",misleading
586,,,"“Recently, a new Maintenance Repair and Overhaul facility with capacity for aircraft C-checks and other comprehensive levels of maintenance was established in Lagos""",correct
587,,,“[Government] has ensured proper funding at the Basic Education level with the disbursement of N42.2 billion UBE Matching Grant to 26 States and the FCT”,unproven
588,,,"“Rice importation from other countries has been cut down by 90%""",correct
589,,,“About 8.2 million pupils are currently being fed from 24 States of the Federation”,unproven
590,May 2018,"Alvin Botes, South African MP ",South Africa spends three times more on education than Kenya,incorrect
591,April 2018,Citizen TV website ,"Over 10,000 children in Mtwapa used in sex tourism",unproven
592,March 2018,"<br>Nigeria’s junior health minister, Dr Osagie Ehanire ",Nigeria also ranks fourth among the 30 highest TB burden countries in the world and first in Africa,incorrect
593,April 2018,<BR>The Guardian newspaper ," Malaria kills 756,000 under five Nigerian children each year",incorrect
594,April 2018,DA head of policy Gwen Ngwenya ,VIP and security budget mirrors that of land reform,correct
595,April 2018,Business Daily newspaper ,Pinnacle Towers are Africa's tallest building,checked
596,,,Eight claims on topics from devolution and health to education ,checked
597,,,"“From an allocation of KSh210 billion in the FY 2013/2014, we now stand at KSh327 billion for the FY 2017/2018, an increase of 56% in five years.”",downplayed
598,,,"“Our real Gross Domestic Product (GDP) grew by 4.9 percent in 2017.""",correct
599,,,"“Maternal mortality fell from 488 deaths per 100,000 lives to 362 deaths per 100,000.""",correct
600,,,“The NHIF coverage widened from a membership of 3.8 million in 2013 to 7.2 million currently.”,mostly-correct
601,,,"“We have increased health facilities from 9,000 in 2013 to 11,000 in 2017.”",incorrect
602,,,"“Tourism earnings grew 20% in 2017.""",correct
603,,,"“When I assumed office as President, we promised to tarmac 10,000 kms roads across the country; we are on target having completed 3,000 kms to-date and with a further 5,000 kms under construction.”",unproven
604,,,"“You might also recall the expansion of Last-Mile Connectivity, which has brought electricity to 71% of households, up from 27% in 2013.”",incorrect
605,,,Three claims on the state of education in South Africa,checked
606,,,South Africa has the 3rd worst education system in the world,incorrect
607,,,50% of students drop out of the system,misleading
608,,,Only 30% [of students] get the marks requires [sic] to get into [university],incorrect
609,March 2018,<BR>ThisDay newspaper ,About 70% of the people in Nigerian prisons have never been convicted of any crime,unproven
610,Feb 2018,Nigeria's The Guardian newspaper ,"In Nigeria, chronic depression affects one in five adults",incorrect
611,April 2018,Tweet by SA Traffic Infringement Agency ,About 47% of road fatalities are pedestrians,not-rated
612,SALGA Parks Tau,South African Local Government Association president ,Two claims on South Africa's water consumption,checked
613,SALGA Parks Tau,South African Local Government Association president ,Average water consumption in South Africa is 235 litres per capita per day.,mostly-correct
614,SALGA Parks Tau,South African Local Government Association president ,The world’s average water consumption is 185 litres per person per day.,unproven
615,March 2018,<br>SA Sunday Times newspaper<br>,South Africa ranks among the world’s worst three countries – after the US and Russia – for serial murders and rapes.,unproven
616,Feb 2018,<br> Nigeria's ThisDay newspaper<br>,South Africa spends about seven times more per head on healthcare than Nigeria does,name-field-verdict
617,March 2018,<br>Tweet by Nelson Mandela Bay mayor Athol Trollip<br>,The US gives South Africa R300 billion worth of aid,not-rated
618,Jan 2018,<BR>The Organization for the Advancement of Nigerians <BR> ,Nigerians are the most educated immigrants in the United States,incorrect
619,Feb 2018,<br>Tweet by Spectator Index account<br>,"""Nigeria's unemployment rate is 18.8%""",correct
620,Jan 2018,<BR>Nigeria's The Guardian newspaper <BR> ,More than a quarter of Nigerian women are still subjected to genital mutilation,incorrect
621,,,Various claims about South Africa's progress.,checked
622,,,“The Western Cape has the lowest unemployment rate of all provinces”,correct
623,,,"“In the unemployment figure of the Western Cape, the bulk of that is youth unemployment”",Verdict
624,,,“Black students obtaining a university degree are more than double the number of white students at the moment.”,Verdict
625,,,“Local government receives an average of 9% from the national fiscus”,Verdict
626,,,"“Last year, we increased the number of tourists by 12.8%”",Verdict
627,,,“We boast the highest unemployment rate in the world”,Verdict
628,,,"“30 million South Africans have to make ends meet with less [than] R1,000 a month.”",Verdict
629,,,"“27% of children under the age of 5 are stunted, nearly 30% of boys and 25% of girls.”",Verdict
630,,,“The biggest cause of death among women is non-communicable diseases.”,Verdict
631,,,“South Africa has the third highest incidence of TB in the world after India and China.”,Verdict
632,,,"""We are the most obese country... amongst the world.”",Verdict
633,,,“The reality is that the real matric pass rate is at 37.3%.”,Verdict
634,,,“A black child is… 100 times more likely to grow up in poverty than a white child.”,Verdict
635,,,"“[Of those] fortunate enough to get to matric and pass and enter university, half will drop out before they reach their second year.”",Verdict
636,,,“Over 8.8 million South Africans were the target of online cybercrime in 2016.”,Verdict
637,,,“[South Africa] is in debt of more than R2.3 trillion.”,Verdict
638,,,"“The debt that is guaranteed by the state in Eskom is R350 billion. In SANRAL, it’s R38.9 billion. In South African Airways, it’s R19.1 billion. In Denel, it’s R1.8 billion. In the Road Accident Fund, it’s R8.5 billion.”",Verdict
639,,,Various claims about South Africa's progress.,checked
640,,,"“The matric pass rate increased from 60.6 percent in 2009 to 75.1 percent last year.""",Verdict
641,,,"“There are currently almost one million students who are enrolled in higher education, up from 500,000 in 1994.”",Verdict
642,,,"“The Accelerated Schools Infrastructure Delivery Initiative programme continues to deliver modern facilities to our schools... with at least 187 schools being completed to date.""",Verdict
643,,,“Our state employs some one million public servants.”,Verdict
644,,,"“Poverty levels rose in 2015""",Verdict
645,,,"“Since the start of the current parliament, our public employment programmes have created more than 3.2 million work opportunities.""",Verdict
646,,,"“Today we have nearly one million children who are participating in early childhood development facilities.""",Verdict
647,,,"“More than 17 million social grants are paid each month""",Verdict
648,,,"“Government’s free basic services programme currently supports more than 3.5 million indigent households.""",Verdict
649,,,Mining fatalities are rising,Verdict
650,,,"“Agriculture has made the largest contribution… to the improved growth of our economy in the second and third quarters of 2017.""",Verdict
651,,,"“Tourism currently sustains 700,000 direct jobs”",Verdict
652,,,Nearly half of the water distributed through the [Nairobi] system is non-revenue water.,exaggerated
653,,,It is also sad to note that water sold in informal settlements is the most expensive water in Nairobi County.,correct
654,,,“Nigeria contributes 23% of the global malaria cases”,understated
655,Jan 2018,<br>Facebook post<br>,"""Every 30 seconds a child is stolen in South Africa""",incorrect
656,Jan 2018,<br>Tweet from govt critic Femi Fani-Kayode<br> ,"""At least 50,000 Nigerians died from terrorism in 2017""",name-field-verdict
657,Jan 2018,<br>Speech by politician Julius Malema<br>,"""Amongst graduates it is only 5% who are unemployed”",correct
658,Jan 2018,<br>ANC Twitter account<br>,"""The number of people in employment in our country rose from 8.9 million in 1994 to around 16 million today""",misleading
659,,," “In his first year in office, Jonathan built 9 federal universities and 78 Almajiri schools. In 2 and a half years in power, Buhari has not even built one nursery school”",checked
660,,,"“In his first year in office, Jonathan built 9 federal universities and 78 Almajiri schools.”",incorrect
661,,,"“In 2 and a half years in power, Buhari has not even built one nursery school.”",misleading
662,,,Two claims about the toll of diarrhoea,checked
663,,,“Handwashing can reduce the risk of communicable diseases by up to 59%.”,exaggerated
664,,,"“More children die per day due to diarrhoeal diseases than from AIDS, malaria and measles combined.”",correct
665,,,"“Despite record low oil prices, this administration was able to invest an additional US$500 million into the [Sovereign Wealth] Fund.”",correct
666,,,“This administration was able to invest an unprecedented sum of over N1.2 trillion in capital projects through the 2016 budget… the highest ever in the history of this country.”,incorrect
667,,,"“As at 30 October 2017, our external reserves had increased to US$34 billion.”",mostly-correct
668,,,“Our tax-to-GDP ratio of about 6% is one of the lowest in the world.”,correct
669,,,"“Over 200,000 unemployed graduates have been employed under the N-Power Scheme in education, health and agriculture.”",unproven
670,,,"Of the 10 countries with the lowest access to education, nine are in Africa. On average, women in these countries have spent less than two years of their lives in school.",misleading
671,,,Nigeria has the highest incidence of diabetes in sub-Saharan Africa; Over five million Nigerians are living with either the type 1 or type 2 diabetes.,checked
672,,,"""Nigeria has the highest incidence of diabetes in sub-Saharan Africa.""",unproven
673,,,"""Over five million Nigerians are living with either the type 1 or type 2 diabetes.""",mostly-correct
674,,,"“There are… a quarter million [people in slavery] in South Africa alone.""",unproven
675,,,"“There are over 10,000 children working as prostitutes in Johannesburg at the moment.""",incorrect
676,,,"""Yorubas have the world's highest twin birth rate.""",unproven
677,,,"""Eating yam increases the chances of having twins.""",unproven
678,,,"""For your information, after the supreme court made this ruling, we lost KSh100 billion in our stock exchange.""",understated
679,,,"It is “important to note that in the whole of Africa, there are only 3 maintenance, repair and overhaul (MRO) facilities”",exaggerated
680,,,"""Heart disease is the leading cause of death in South Africa""",incorrect
681,,,"""Heart disease [accounts for] four times more [deaths] than murder.""",misleading
682,,,“ A mother has a higher chance of dying [during] birth in Nairobi than in Mandera”,unproven
683,,,“ A newborn has a higher chance of dying at birth in Nairobi than in Mandera”,mostly-correct
684,,,“65% of [city] water goes to formal residential customers”,correct
685,,,“Half of [residential water] is used for non-essential purposes”,unproven
686,,,“...our people’s access to electricity has increased from 58% to 85%.”,mostly-correct
687,,,"""Government has increased GDP by more than 9 times from R400 billion to over R4 trillion per annum.""",misleading
688,,,"""Life expectancy [has] increased [by] 6 years.""",downplayed
689,,,“Functional illiteracy [has decreased] nearly by half from 34% to 19%.”,downplayed
690,,,“… we have seen students who have obtained the national senior certificate increasing from 45% to 56%”,unproven
691,,,“17 million beneficiaries receive social grants”,mostly-correct
692,,,Private healthcare serves only 16% of the population,misleading
693,,,"“From 2013, up to now where we are, [the] inflation rate has gone up cumulatively by 40%...”",correct
694,,,"“From 2013, up to now where we are… the average [minimum] wage has only increased by 12%.”",incorrect
695,,,“Unemployment right now stands at 40%.”,incorrect
696,,,“...the number one forex earner in Kenya today is remittances from the diaspora.”,correct
697,,, “Our unemployment [rate] is over 40%...”,incorrect
698,,,"“In South Africa, every 8 hours a woman is killed...”",incorrect
699,,,“...and at least half of these [murdered] women die at the hands of their intimate partners.”,correct
700,,,“South Africa’s femicide rate is 5 times more than the global rate.”,mostly-correct
701,,,"“...foreign debt has increased two-fold from KSh880 billion in 2013 to KSh1,890 billion this year, a growth of 115%”",mostly-correct
702,,,“Only half the children who complete primary school are proceeding to secondary school...”,incorrect
703,,,“...close to a quarter of those [children who complete primary school] are not completing secondary school.”,downplayed
704,,,"""Our average maize yield has stagnated at 8.5 bags per acre, against a potential of 30 bags per acre, this reflects the very low yields among smallholders who produce 80% of our maize.”",mostly-correct
705,,,"“Our holiday tourist arrivals have declined five years in a row from 1.1 million visitors a year in 2012 to 930,000 visitors in 2016.”",mostly-correct
706,,,“[We have achieved] a halving in the number of deaths of children under 5 years.”,incorrect
707,,,"“In the last four years, we have connected an additional 15,137 public primary schools.”",unproven
708,,,"“In the last four years, we have increased power generation and added 657 MW to the grid.”",exaggerated
709,,,"“We have given priority to clean energy, (geothermal, wind power, solar and hydro), which now accounts for over 75% of the installed capacity compared to the world average of only 24%.”",incorrect
710,,,“The ratio of police officer to Kenyan citizen has improved from 1:500 to 1:400 a higher threshold than the UN benchmark of one officer for every 450 citizens.”,incorrect
711,,,"“black-owned [companies] get 2%”... “of SAA’s...procurement""",mostly-correct
712,,,"“98% of SAA’s...procurement goes to white-owned companies""",incorrect
713,,,“We have in the last 2 years added US$500 million to our sovereign wealth fund.”,unproven
714,,,“I am delighted to note that since 2015 our imports of rice have dropped by 90%.”,incorrect
715,,,"“In the 2016 budget, we spent N1.2 trillion on infrastructure projects.”",unproven
716,,,"""Due to our very successful prevention of mother-to-child transmission programme, the figure has dramatically dropped to below 6,000""",understated
717,,,"“By 2050, it is projected that Africa will have the same population as China and India combined”",incorrect
718,,,"“By 2050, it is projected that Africa will have the same population as China and India combined today.”",exaggerated
719,,,"“The duty waiver was made in April… and we actually asked importers to import maize from as early as 1 month ago.""",correct
720,,,"“When we came in, [the ratio of debt to GDP] was at 45%, today it is close to 50%.”",downplayed
721,,,"“We have connected a record 6 million Kenyans to electricity.""",misleading
722,,,"“Today we have surpassed the internationally accepted ratio of policemen to citizens.""",incorrect
723,,,7 million households now connected to the electricity grid,correct
724,,,R4.3 billion invested in new car manufacturing plant in Eastern Cape,correct
725,,,3.5 million people get HIV treatment,downplayed
726,,,"9,312,511 learners and 20,744 schools have benefitted from the nutrition programme",downplayed
727,,,8 million hectares of arable land transferred,mostly-correct
728,,,2.1 million more people employed since 2010,misleading
729,,,4 million houses built by government since 1994,incorrect
730,,,"“In 4 years, we have connected more Kenyans to the grid than in all years since independence.”",correct
731,,,"“Today, more than 2,282 MW of power is available on the national grid compared to the 1,664 MW available 3 years ago.”",incorrect
732,,,"“Every year, the Jubilee government’s development budget has exceeded the national revenue share of the counties.”",correct
733,,,“Jubilee took over a nation of KSh1.5 trillion debt. That debt is now KSh4 trillion and rising.”,unproven
734,,,“Pension funds and other investors in the Nairobi Stock Exchange lost KSh120 billion in 2016.”,downplayed
735,,,“Kenya’s industrial power costs remain much higher than that of our competitors.”,mostly-correct
736,,,“Over 50% of girls [in] the age bracket of 18 and 20 were given out in marriage in this part of the country.”,mostly-correct
737,,,“Girls who get pregnant below the age of 15 are 5 times as likely to die as girls who get pregnant at the age of 20.”,unproven
738,,,"“Our ratio of police to the population is 1 officer for 380 citizens, better than the prescribed UN ratio of 1 officer for every 450 citizens.""",incorrect
739,,,"“My administration has gone over and beyond the constitutional requirement by increasing the percentage of shareable revenues [with Kenya's counties] from 15% to 34%.""",correct
740,,,"“Our gross domestic product has expanded at [a] strong average annual growth rate of 5.9% since 2013.""",unproven
741,,,“Our debt is at about 50% of our gross domestic product.”,downplayed
742,,,"“In simple terms, 50% of all the money collected as revenues in Kenya goes into the pockets of less than 2% of the country's total population.""",correct
743,,,"“Today, we have doubled the numbers of expectant mothers delivering under the care of skilled medical attendants to over 1.2 million by the end of 2016.”",Verdict
744,,,"“Today, we have connected an additional 3.7 million new homes to electricity.”",Verdict
745,,,"“With 1,950 km of new roads completed, and another 7,000 km in different phases of construction, we have kept the promise [to undertake the most aggressive road construction programme ever seen in Kenya].”",Verdict
746,November 2016,Inkatha Freedom Party ,"South Africa is feeding its people toxins [glyphosate], thus feeding the cancer pandemic",unproven
747,,,Putting a slice of lemon in your water alkalises and cleanses your liver.,incorrect
748,,,Drinking water at the correct times maximises its effectiveness on the human body.,incorrect
749,,,"“To date, nearly 7 million households have been connected to the grid and now have the electricity.""",correct
750,,,"""Among the participating countries [in the Trends in International Mathematics and Science Study] South Africa has shown the largest improvement of 87 points in mathematics and 90 points in science.""",correct
751,,,“Government also settled all debt owed by National Student Financial Aid Scheme (NSFAS) students.”,misleading
752,,,"""A total of 173 inappropriate [schools] have been eradicated since 2011.""",correct
753,,,"“In terms of the 2015 to 2016 information submitted to the Employment Equity Commission, the representation of whites at top management levels amounted to 72%, while African representation was at 10%. The representation of coloureds stood at 4.5%, and Indians 8.7%.”",incorrect
754,,,“The expanded public works program has since 2014 created more than 2 million work opportunities towards the attainment of the target of 6 million work opportunities by the end of March 2019.”,correct
755,,,"“Of the [more than 2 million] work opportunities created, more than 1 million have been taken up by the youth.”",correct
756,,,"“White households earn at least 5 times more than black households, according to Statistics South Africa.”",mostly-correct
757,,,“Only 10% of the top 100 companies on the Johannesburg Stock Exchange are owned by black South Africans... according to the National Empowerment Fund.”,incorrect
758,,,"“...about 10,000 unemployed youth are being trained as plumbers, artisans and water agents”",unproven
759,,," “Government is actively involved in the property sector, having provided more than 4 million houses since 1994.”",incorrect
760,,," “At the level of gender, at senior management level males remain dominant at 67.6% and females at 32.4%.”",correct
761,,,"""There has also been a 19% decline in households involved in agriculture from 2.9 million in 2011 to 2.3 million households in 2016.""",correct
762,,,"""Our tourist arrival numbers for the period January to November 2016 increased to 9 million, an increase of just over 1 million arrivals from 2015. This represents a 13% growth in tourism arrivals.""",correct
763,,,"“Social grants now reach close to 17 million people, mainly older persons and children”",downplayed
764,,,“We welcome the decline in rhino poaching incidents since October 2015 which is for the first time in a decade.”,unproven
765,,,"“Within the National Prosecuting Authority, the Asset Forfeiture Unit completed 389 forfeiture cases to the value of R349 million.”",correct
766,,,"""Last year, I signed into law a provision to criminalise the cartels and collusion and it came into effect on 1 May. It carries jail sentences of up to 10 years.""",correct
767,,,“Compliance levels with parole and probation conditions have improved to reach a historic mark of 98%.”,correct
768,,,"“The department of social development is building new public treatment centres in provinces where there are no such facilities - in the Northern Cape, North West, Limpopo, the Free State and Eastern Cape.”",correct
769,,,The two men dressed in blue uniforms stationed inside the doors of the national assembly “must leave the house. They don't belong here.”,incorrect
770,,,"""We are not allowed, according to the constitution, to stand for any office if we have a criminal record.""",mostly-correct
771,,,The “male stubborn and chauvinistic attitude” accounted for 78.4% of traffic deaths in the first 19 days of December 2016,misleading
772,,,"The manufacturing sector created more than 7,000 new jobs during the first six months of 2016.",incorrect
773,,,There has been no load-shedding since August last year.,incorrect
774,,,The Free State province achieved 93.2% pass rate.,mostly-correct
775,,,We are proud of the increase in life expectancy from 60 years in 2012 to 62 years in 2014.,mostly-correct
776,,, More more than 22 million people have been provided with housing over the last two decades.,unproven
777,,,The National Student Financial Aid Scheme (NSFAS) currently covers over 75% of students in tertiary institutions.,unproven
778,,,South Africa is “best or number one for” death rates,incorrect
779,,,Kenya is “best or number one for” the production of black tea,incorrect
780,,,Nigeria is “best or number one for” the number of top 200 Scrabble players,incorrect
781,,,"“WHO’s report reveals that more people are dying of TB and more people are left undiagnosed and untreated than last year, creating a cycle of TB transmission and death.”",misleading
782,,,“[South Africa's] unemployment rate is one of the highest in the world.”,correct
783,,,“The key challenge [in South Africa] is that the majority of these people who are unemployed are young people.”,correct
784,,,“[Sugar-sweetened drinks] account for just 3% of daily calorie intake in South Africa.”,misleading
785,,,"“This decline in [sales] volumes could result in 62,000-72,000 job losses, many of which will be in small-scale farms and spazas.”",unproven
786,,,“In 1994 we took over as the democratic government just over 50% of households had access to clean piped water and today over 95% of our people enjoy access to clean piped water.”,incorrect
787,,,“In Midvaal... unemployment is half of what it is for the rest of Gauteng.”,incorrect
788,,,"“For every one person receiving treatment [in 2000], there are 17 who have it today. That means we have increased 17 times at least, the number of people treated.”",downplayed
789,,,"“But still, 20 million don’t get access and 13 million still do not get the care they deserve.”",mostly-correct
790,,,“Today some countries have no babies born with HIV.”,correct
791,,,A girl's chance of getting infected with HIV/Aids decreases by half for each extra year that she stays in secondary school,exaggerated
792,,,“15% of South Africa’s population have a drug problem.”,incorrect
793,,,"""According to South African Police Service figures, 60% of crimes nationally were related to substance abuse.""",unproven
794,,,"""The recently released United Nations world drug report named South Africa as one of the drug capitals of the world.""",incorrect
795,,,"""Drug abuse is costing South Africa R20 billion a year.""",unproven
796,,,“More than 8.2 million South Africans do not have a job.”,mostly-correct
797,,,"“Estimates by the City [of Cape Town] found that 161,000 individuals, or 11.3% of the total workforce in Cape Town, were employed by the informal economy in 2015.”",mostly-correct
798,,,“Midvaal [has] the lowest unemployment rate in Gauteng.”,correct
799,,,"“Since 2011, the City of Cape Town has created more than 140,000 temporary work opportunities for unemployed South Africans through [the Expanded Public Works Programme].”",correct
800,,,"The City of Cape Town’s ""rate of unemployment"" was 20.5% in 2013/14. This was lower than three other ""major metros"", including the City of Tshwane (23.4%), Nelson Mandela Bay (30.6%) and the City of Johannesburg (27.9%).",incorrect
801,,,"“In the 2014/15 financial year, the City of Cape Town spent 67% of its budget in poor communities.”",incorrect
802,,,“DA-run governments are recognised as among the best in South Africa by national government and a variety of other agencies.”,correct
803,,,"“The City of Cape Town has repealed over 300 [apartheid-era policies, structure plans, bylaws and other procedures].”",correct
804,,,“The City of Cape Town runs six facilities dedicated to providing treatment for alcohol and drug addiction.”,correct
805,,,"“The DA is making great strides compared to other metros in the country - as of February 2015, Nelson Mandela Bay had 50,000 outstanding title deeds”",correct
806,,,“...the Drakenstein municipality managed to reduce annual water losses from 34.8% to 12.1% in little over a decade. The campaign also showcases how DA local governments can reverse the decline of a municipality by identifying problems and taking proactive steps to address them.”,incorrect
807,,,“The percentage of households that are connected to electricity supply increased from 69.7% in 2001 to 86% in 2014. This amounted to over 5.8 million households in 2014.”,mostly-correct
808,,,"""...figures show that 2,048,052 households benefited from indigent support systems for electricity in 2014.""",correct
809,,,"""Between 2001 and 2014, the percentage of households with access to piped water increased from 61.3% in 2001 to 90% in 2014.""",misleading
810,,,"""The proportion of households benefiting from free basic water services increased dramatically between 2007 and 2013. Households receiving free basic water services increased from 7,225,287 in 2007 to 11,794,526 in 2013.""",incorrect
811,,,"""Between 2002 and 2014, the ANC government increased access to basic sanitation services from 62.3% to 79.5%.""",correct
812,,,"""In 2001, 55.4% of households had access to refuse removal and collection. By 2012, households having access to these services increased by 7.1% to reach 62.5% and further increased to 64% in 2014.""",mostly-correct
813,,,"""Average life expectancy increased from 53.4 years in 2004 to 62.5 years in 2015.""",correct
